"","BeeSpId","ITD_mm","BeeSize_DryWeight_mg","Abundance"
"1","Agapostemon texanus angelicus",1.77551018,8.67538812464539,4
"2","Agapostemon virescens",2.142857115,12.9870903784253,4
"3","Andrena amphibola",2.42244895,17.4514232968041,10
"4","Andrena candida",1.73469386,8.20400605585689,1
"5","Andrena crataegi",1.93637452352941,10.482389383142,4
"6","Andrena knuthiana",2.21140906440752,14.7514854648378,1
"7","Andrena lawrencei",2.21768704766667,14.2371344612563,31
"8","Andrena medionitens",2.21140906440752,14.7514854648378,1
"9","Andrena microchlora",2.21140906440752,14.7514854648378,4
"10","Andrena milwaukeensis",2.21140906440752,14.7514854648378,1
"11","Andrena miranda",2.3448979295,16.2786184047915,22
"12","Andrena nigrocaerulea",1.85714283,9.49955359377059,1
"13","Andrena nivalis",2.34693874666667,16.3943785608858,4
"14","Andrena nr shoshoni",2.21140906440752,14.7514854648378,2
"15","Andrena prunorum",2.5790816,20.0125102811745,6
"16","Andrena saccata",2.61224486,20.5958899691639,1
"17","Andrena salicifloris",2.18367344,13.8269029408257,1
"18","Andrena sigmundi",2.14285712,13.1569024277195,1
"19","Andrena surda",2.21140906440752,14.7514854648378,1
"20","Andrena thaspii",1.894283495,10.0391726321208,5
"21","Andrena topazana",1.98979589375,11.2145332902456,8
"22","Andrena transnigra",3.10256409,30.8475657717267,1
"23","Andrena vierecki",1.80645158,9.03130090308371,2
"24","Andrena walleyi",2.21140906440752,14.7514854648378,3
"25","Anthidiellum notatum robertsoni",2.43877548,17.5681782052643,2
"26","Anthidium atrifrons",2.73469384,23.1326538557787,1
"27","Anthidium clypeodentatum",2.79138318444444,23.7081822503873,9
"28","Anthidium mormonum",2.51117586761905,18.7711520084703,6
"29","Anthidium tenuiflorae",2.665306088,21.6989538727173,1
"30","Anthidium utahense",2.2399999708,14.363939235377,19
"31","Anthophora terminalis",3.13225369526316,31.1207530124701,15
"32","Anthophora urbana",2.929487165,26.7706004331352,8
"33","Anthophora ursina",3.58608056714286,42.2685995138974,7
"34","Apis mellifera",2.94284186416667,27.0333469087694,405
"35","Ashmeadiella bucconis",1.60215051133333,6.81096983424641,22
"36","Ashmeadiella cactorum",1.223214240625,3.79418285123852,17
"37","Ashmeadiella californica",1.540322555,6.28714091188768,4
"38","Ashmeadiella pronitens",1.524193525,6.2342006166309,3
"39","Bombus appositus",3.93640193157408,51.2678879660262,121
"40","Bombus bifarius",3.18692484627178,32.5841655498584,322
"41","Bombus cent flavi",3.26976494083333,34.2019883371834,8
"42","Bombus centralis",3.26863903569231,34.3072652101045,34
"43","Bombus fervidus",3.49287747333333,40.0549161852309,9
"44","Bombus flavifrons",3.26495724761905,33.9400429026881,27
"45","Bombus griseocollis",4.064102545,55.7643222744832,1
"46","Bombus huntii",3.20352562375,32.8571519844661,11
"47","Bombus melanopygus",3.7179487,45.8941956264185,2
"48","Bombus mixtus",3.36217946875,36.5153518702101,20
"49","Bombus occidentalis",3.87606835333333,49.8850958424916,16
"50","Bombus rufocinctus",3.25378786125,34.0624927071859,117
"51","Ceratina nanula",1.06655840125,2.78314372987462,10
"52","Ceratina neomexicana",1.34199129208333,4.57542146570796,19
"53","Coelioxys alternata",2.66326527333333,21.3555804029006,2
"54","Coelioxys modesta",2.69727887777778,22.1251420642166,3
"55","Coelioxys porterae",2.612244865,20.701314992473,2
"56","Coelioxys rufitarsis",2.816326495,24.3185307972762,2
"57","Colletes consors consors",2.26530609,15.1455650793514,1
"58","Colletes fulgidus",2.21844290444444,14.289096736525,25
"59","Colletes hyalinus hyalinus",1.873469364,9.74309636329441,6
"60","Colletes kincaidii",2.372448951,16.6135636600693,20
"61","Colletes phaceliae",2.110969361875,12.852853997627,14
"62","Diadasia diminuta",2.26530609,14.9871092289635,1
"63","Dianthidium subparvum",2.17254171818182,13.7196190535075,10
"64","Dianthidium ulkei",2.21282796142857,14.3083638246682,5
"65","Dioxys productus",1.71428569,8.06798932679988,1
"66","Dufourea maura",1.73469385666667,8.25446384344021,5
"67","Dufourea trochantera",1.50510202125,5.90894853875139,5
"68","Epeolus sp ",2.33234586361111,18.7598146636361,1
"69","Eucera edwardsii",3.402564084,37.6190807715379,9
"70","Eucera fulvitarsis",3.402564084,37.6190807715379,1
"71","Halictus confusus",1.20707066388889,3.64279365011557,10
"72","Halictus ligatus",1.69047616833333,7.78448673948057,9
"73","Halictus rubicundus",1.9642856875,10.8290277669781,9
"74","Halictus tripartitus",1.18759014444444,3.53565588819514,16
"75","Heriades carinatus",1.34767022777778,4.69927120551129,7
"76","Heriades cressoni",1.22666867562893,3.7330630970433,280
"77","Heriades variolosa",1.21505374333333,3.74149001119567,7
"78","Hoplitis albifrons argentifrons",2.35086555615385,16.4923529832659,31
"79","Hoplitis fulgida fulgida",2.01634429825892,12.3422088250671,8
"80","Hoplitis grinnelli",1.3474025475,4.71332873147843,2
"81","Hoplitis hypocrita",2.4345578012,17.7496370648706,8
"82","Hoplitis producta",2.01634429825892,12.3422088250671,1
"83","Hoplitis truncata",1.93255128818182,10.4135165206535,8
"84","Hylaeus annulatus",1.27597398,4.19969971775852,3
"85","Hylaeus basalis",1.79838706833333,8.84718722447742,6
"86","Hylaeus coloradensis",1.06277052333333,2.75277236154392,5
"87","Hylaeus episcopalis",1.34632029666667,4.74924800174654,3
"88","Hylaeus leptocephalus",1.1623376175,3.37636880153272,3
"89","Hylaeus mesillae rudbeckiae",1.08441554428571,2.84263235593079,15
"90","Hylaeus modestus",1.27626913818182,4.15867376071926,11
"91","Hylaeus rudbeckiae",1.064935025,2.75552951863717,1
"92","Hylaeus verticalis",1.49783544333333,5.86856085714621,3
"93","Hylaeus wootoni",1.063636325,2.72477487760772,17
"94","Lasioglossum abundipunctum",1.29870125,4.28770504393882,1
"95","Lasioglossum aff caducum",1.28478764153754,4.47594335837475,5
"96","Lasioglossum aff nevadense",1.28478764153754,4.47594335837475,2
"97","Lasioglossum albipenne",1.31571871586207,4.48444084405419,27
"98","Lasioglossum anhypops",1.62903223,7.13061838828138,1
"99","Lasioglossum ebmerellum",1.0714285325,2.81152564334988,3
"100","Lasioglossum egregium",1.922580614,10.4593166736119,4
"101","Lasioglossum hyalinum",1.28478764153754,4.47594335837475,1
"102","Lasioglossum marinense",1.30248912958333,4.35093381669025,19
"103","Lasioglossum nigroviride",1.47944455184211,5.76012999543266,32
"104","Lasioglossum nr pavoninum",1.28478764153754,4.47594335837475,3
"105","Lasioglossum obnubilum",0.810606031666667,1.47849675100152,2
"106","Lasioglossum occidentale",1.038961,2.61936845663209,2
"107","Lasioglossum ruidosense",1.1331168425,3.18656812195884,4
"108","Lasioglossum sedi",1.12987009,3.1608014999926,1
"109","Lasioglossum semicaeruleum",1.155844115,3.32903629057919,3
"110","Lasioglossum sisymbrii",1.53225804,6.25782868874468,1
"111","Lasioglossum sp F1",2.33234586361111,18.7598146636361,3
"112","Lasioglossum sp F17",2.33234586361111,18.7598146636361,2
"113","Lasioglossum sp F2",2.33234586361111,18.7598146636361,4
"114","Lasioglossum sp F28",2.33234586361111,18.7598146636361,5
"115","Lasioglossum sp F3",2.33234586361111,18.7598146636361,3
"116","Lasioglossum sp F5",2.33234586361111,18.7598146636361,15
"117","Lasioglossum sp F6",2.33234586361111,18.7598146636361,1
"118","Lasioglossum sp F7",2.33234586361111,18.7598146636361,1
"119","Lasioglossum sp F8",2.33234586361111,18.7598146636361,1
"120","Lasioglossum succinipenne",1.16697583857143,3.3464368029785,5
"121","Lasioglossum tenax",1.28478764153754,4.47594335837475,19
"122","Megachile angelarum",2.31972786333333,15.8001945296283,6
"123","Megachile apicalis",2.417687044,17.4371567821483,23
"124","Megachile brevis",2.640816294,21.2650099297382,4
"125","Megachile fidelis",2.5153060925,18.9757235535474,5
"126","Megachile frigida",3.23685834,33.9004553927388,22
"127","Megachile gemula",2.87074826333333,25.2518971662856,4
"128","Megachile lapponica",2.56343964702703,19.7083952657834,24
"129","Megachile melanophaea",3.029931934,28.5789758318159,13
"130","Megachile montivaga",2.45698920666667,18.1274022871825,1
"131","Megachile onobrychidis",2.4193548,17.3964314407829,1
"132","Megachile perihirta",3.20376252317073,32.5827522544382,16
"133","Megachile pugnata",2.67913828833333,22.0407426242232,19
"134","Megachile relativa",2.48137621631579,18.3319263220197,15
"135","Melecta pacifica fulvida",2.86516330265427,28.1190439461387,3
"136","Melissodes confusa",2.48979589,18.4733632229896,1
"137","Melissodes hymenoxidis",2.632653,21.2424055424892,1
"138","Melissodes microsticta",2.248979564,14.8325727033161,24
"139","Melissodes rivalis",2.457142818,18.1827804895983,1
"140","Melissodes unk1",2.4285714,17.7666133264905,1
"141","Nomada sp F1",2.33234586361111,18.7598146636361,2
"142","Nomada sp F2",2.33234586361111,18.7598146636361,1
"143","Nomada sp F3",2.33234586361111,18.7598146636361,3
"144","Nomada sp F4",2.33234586361111,18.7598146636361,1
"145","Nomada sp F7",2.33234586361111,18.7598146636361,2
"146","Nomada sp M1",2.33234586361111,18.7598146636361,1
"147","Osmia aff albolateralis",2.48057967978018,19.2016350358109,1
"148","Osmia aff grindeliae",2.48057967978018,19.2016350358109,1
"149","Osmia aff paradisica",2.48057967978018,19.2016350358109,5
"150","Osmia albolateralis",2.3889795608,16.9032054877286,54
"151","Osmia atrocyanea",2.622448945,21.0536009278515,2
"152","Osmia brevis",2.0580974025,11.9712086553249,2
"153","Osmia bruneri",2.17741932,13.7181420024759,1
"154","Osmia bucephala",3.59706957714286,42.217861179557,7
"155","Osmia californica",2.83425279142857,24.7672434709634,28
"156","Osmia coloradensis",2.31536251428571,16.0157745078997,21
"157","Osmia densa",2.56802718,19.7286301772599,7
"158","Osmia grindeliae",2.36734691,16.4174726508275,3
"159","Osmia inermis",2.57823126,20.2015594075695,3
"160","Osmia iridis",2.302022825,15.5145863687899,6
"161","Osmia juxta",2.6937952253125,22.2076346055866,29
"162","Osmia kincaidii",2.48057967978018,19.2016350358109,1
"163","Osmia longula",3.3782051125,36.6008676359929,4
"164","Osmia malina",2.35483867,16.4097870278619,1
"165","Osmia marginipennis",3.0400313675,29.2707079837588,1
"166","Osmia montana montana",2.5870967395,20.2232014562451,17
"167","Osmia nigrifrons",2.82215739714286,24.7721421953949,8
"168","Osmia nigriventris",2.89795915,26.5025493500643,1
"169","Osmia nr proxima",2.48057967978018,19.2016350358109,1
"170","Osmia odontogaster gr sp 1",2.48057967978018,19.2016350358109,1
"171","Osmia odontogaster gr sp 2",2.48057967978018,19.2016350358109,1
"172","Osmia paradisica",2.499999965,18.5892562612075,2
"173","Osmia pentstemonis",1.92165895428571,10.3895440049971,8
"174","Osmia phaceliae",1.983870935,11.2236097051833,14
"175","Osmia proxima",2.26530609,14.8702787214635,3
"176","Osmia pusilla",1.84632027666667,9.3551026255219,14
"177","Osmia subaustralis",2.69634624,22.1282848478011,2
"178","Osmia tersula",2.35483867,16.2968345082903,2
"179","Osmia trevoris",2.17137093375,13.6766139919132,18
"180","Osmia tristella",1.65259734125,7.41844620936463,8
"181","Panurginus atriceps",1.103896065,2.96179824615571,1
"182","Panurginus torchioi",1.29870125,4.31084232723459,1
"183","Stelis calliphorina",2.03225803,11.8365823832391,2
"184","Stelis callura",2.16894335,13.7196479418186,1
"185","Stelis carnifex",2.16129029,13.4518310682875,1
"186","Stelis foederalis gr sp B",2.16894335,13.7196479418186,1
"187","Stelis montana",1.95161287,10.5784485431735,5
"188","Stelis monticola",2.53061221,19.0117297725743,1
"189","Stelis permaculata",2.16894335,13.7196479418186,1
"190","Stelis sp F6",2.16894335,13.7196479418186,2
"191","Triepeolus paenepectoralis",2.86516330265427,28.1190439461387,1
